word1,word2,oughta be related?,notes
grave,death,1,basic
tree,leaf,1,basic
tree,forest,1,basic
mow,lawn,1,basic
death,bled,1,examples from the documentation
death,dead,1,examples from the documentation
death,dread,1,examples from the documentation
sex,fuck,1,obscene words are permitted
food,the,0,stop words ought not show up as related to anything
mow,mows,1,morphological variants oughta be related but not words that are merely orthographically similar
mow,mowed,1,morphological variants oughta be related but not words that are merely orthographically similar
mow,mower,1,morphological variants oughta be related but not words that are merely orthographically similar
mow,mowing,1,morphological variants oughta be related but not words that are merely orthographically similar
mow,moll,0,morphological variants oughta be related but not words that are merely orthographically similar
mow,mosh,0,morphological variants oughta be related but not words that are merely orthographically similar
tree,trees,1,morphological variants oughta be related but not words that are merely orthographically similar
tree,treetop,1,morphological variants oughta be related but not words that are merely orthographically similar
tree,treetops,1,morphological variants oughta be related but not words that are merely orthographically similar
tree,treece,0,morphological variants oughta be related but not words that are merely orthographically similar
tree,treese,0,morphological variants oughta be related but not words that are merely orthographically similar
tree,treesh,0,morphological variants oughta be related but not words that are merely orthographically similar
math,mathematics,1,morphological variants oughta be related but not words that are merely orthographically similar
pirate,ship,1,
pirate,cache,1,
pirate,lash,1,
pirate,cove,1,
pirate,trove,1,
pirate,handsome,1,
pirate,ransom,1,
pirate,wench,1,
pirate,gang,1,
pirate,hang,1,
pirate,plank,1,
pirate,peg,1,
pirate,leg,1,
pirate,daring,1,
pirate,swearing,1,
pirate,hacker,1,
pirate,cracker,1,
pirate,sea,1,
pirate,dvd,1,
pirate,gold,1,
pirate,bold,1,
pirate,buccaneer,1,
pirate,peer-to-peer,1,
pirate,commandeer,1,
pirate,crew,1,
pirate,tattoo,1,
pirate,reef,1,
pirate,thief,1,
pirate,coast,1,
pirate,ghost,1,
pirate,loot,1,
pirate,pursuit,1,
pirate,rum,1,
pirate,saber,1,
pirate,scurvy,1,
pirate,doubloons,1,
pirate,pew,0,
pirate,roc,1,ish
pirate,miko,0,
pirate,mrs.,0,
pirate,needlework,0,
pirate,popcorn,0,
pirate,galaxy,0,
pirate,ebony,0,
pirate,ballerina,0,
pirate,bungee,0,
pirate,homemade,0,
pirate,pimping,0,
pirate,prehistoric,0,
pirate,reindeer,0,
pirate,adipose,0,
pirate,asexual,0,
pirate,doodle,0,
pirate,frisbee,0,
pirate,isaac,0,
pirate,laser,0,
pirate,homophobic,0,
pirate,pedantic,0,
halloween,pumpkin,1,
halloween,bat,1,
halloween,cat,1,
halloween,fairy,1,
halloween,scary,1,
halloween,fright,1,
halloween,night,1,
halloween,cider,1,
halloween,spider,1,
halloween,decoration,1,
halloween,costume,1,
halloween,ira,0,prereq: halloween ought_not day+ira
halloween,lindsay,0,
halloween,lindsey,0,
halloween,nicki,0,
halloween,pauline,0,
cat,kitty,1,
cat,kitten,1,
cat,meow,1,
cat,dog,1,
cat,whisker,1,
cat,whiskers,1,
cat,cats,1,
cat,pet,1,
cat,purr,1,
cat,feline,1,
cat,tuxedo,1,
cat,skin,1,there's more than one way
cat,neutered,1,
cat,spay,1,
cat,lynx,1,
cat,bobcat,1,
cat,lion,1,
cat,tiger,1,
cat,cougar,1,
cat,jaguar,1,
cat,wildcat,1,
cat,fur,1,
cat,cute,1,
cat,litter,1,
cat,tail,1,
cat,fancier,1,
cat,fanciers,1,
cat,eye,1,
cat,fleas,1,
cat,bite,1,
cat,stray,1,
cat,biscuit,1,
cat,paw,1,
cat,ear,1,
cat,ears,1,
cat,tree,1,
cat,puss,1,
cat,pussy,1,
cat,object,0,
cat,objects,0,
cat,item,0,
cat,items,0,
cat,thing,0,
cat,things,0,
cat,verb,0,
cat,justice,0,
cat,hunker,0,
cat,chunk,0,
cat,knack,0,
cat,zucchini,0,
cat,astronomy,0,
cat,undertow,0,
cat,tool,0,
cat,duck,0,ish - cats and birds are loosely thematically related
cat,rhombus,0,
cat,fandango,0,
cat,rancid,0,
cat,melancholy,0,
cat,woe,0,
cat,malice,0,
cat,sever,0,
crime,heist,1,
crime,organized,1,
crime,burglar,1,
crime,burglary,1,
crime,rob,1,
crime,robber,1,
crime,robbery,1,
crime,felon,1,
crime,felony,1,
crime,loot,1,
crime,fight,1,
crime,jail,1,
crime,bank,1,
crime,murder,1,
crime,thief,1,
crime,theft,1,
crime,blackmail,1,
crime,gun,1,
crime,homicide,1,
crime,trespassing,1,
crime,vice,1,
crime,justice,1,
crime,acquit,1,
crime,acquitted,1,
crime,commit,1,
crime,committed,1,
crime,arrest,1,
crime,confessed,1,
crime,sleuth,1,
crime,truth,1,
crime,drugs,1,
crime,thugs,1,
crime,denial,1,
crime,trial,1,
crime,job,1,
crime,mob,1,
crime,sentence,1,
crime,repentance,1,
crime,skulduggery,1,
crime,thuggery,1,
crime,dishonesty,1,
crime,plea,1,
crime,malice,1,
crime,person,0,
crime,fungus,0,
crime,soybean,0,
crime,legume,0,
crime,scallion,0,
crime,grain,0,
crime,pasta,0,
crime,animation,0,
crime,baseball,0,
crime,chassis,0,
crime,poodle,0,
crime,etymology,0,
crime,intonation,0,
crime,meningitis,0,
crime,ontology,0,
crime,penicillin,0,
crime,thing,0,
crime,object,0,
crime,transistors,0,
crime,sky,0,
crime,gas,0,ish prereq: crime ought_not gas+mass
crime,mass,0,ish prereq: crime ought_not gas+mass
crime,lake,0,prereq: crime ought_not lake+quake
crime,quake,0,prereq: crime ought_not lake+quake
crime,sci-fi,0,
crime,word,0,prereq: crime ought_not nerd+word
pasta,champagne,1,
pasta,grain,1,
pasta,italian,1,
pasta,scallion,1,
pasta,animation,0,
pasta,bank,0,
pasta,baseball,0,
pasta,chassis,0,
pasta,dog,0,
pasta,poodle,0,
pasta,etymology,0,
pasta,intonation,0,
pasta,intuition,0,
pasta,meningitis,0,
pasta,ontology,0,
pasta,penicillin,0,
pasta,stocks,0,
pasta,thing,0,
pasta,object,0,
pasta,transistors,0,
pasta,rhombus,0,
pasta,fandango,0,
pasta,justice,0,
pasta,melancholy,0,
pasta,frolic,0,
pasta,woe,0,
pasta,malice,0,
pasta,sever,0,
star,sun,1,
star,galaxy,1,
star,celebrity,1,
star,guest,1,
star,solar,1,
star,planet,1,
star,stellar,1,
star,constellation,1,
star,twinkle,1,
star,sparkle,1,
star,asterisk,1,
star,gold,1,
star,light,1,
star,lord,1,Peter Quill
star,astronomy,1,
star,astronomer,1,
star,astrophysics,1,
star,duck,0,
star,rhombus,0,ish - both geometric shapes
star,fandango,0,ish - fandango is a movie ticket app and star has the sense of movie star
star,rancid,0,
star,justice,0,
star,melancholy,0,
star,frolic,0,
star,woe,0,
star,malice,0,
star,sever,0,
music,baroque,1,
music,folk,1,
music,beat,1,
music,sheet,1,
music,cantata,1,
music,sonata,1,
music,noise,1,
music,funk,1,
music,punk,1,
music,sing,1,
music,swing,1,
music,orchestration,1,
music,vibration,1,
music,sonic,1,
music,harmonic,1,
music,piece,1,
music,release,1,
music,recital,1,
music,title,1,
music,piano,1,
music,soprano,1,
music,violins,1,
music,winds,1,
music,flute,1,
music,lute,1,
music,tango,1,
music,session,1,
music,progression,1,
music,croon,1,
music,tune,1,
music,crooner,1,
music,tuner,1,
music,ears,1,
music,spheres,1,
music,bridal,1,
music,idol,1,
music,audition,1,
music,composition,1,
music,chord,1,
music,record,1,
music,clarinet,1,
music,minuet,1,
music,accidental,1,
music,instrumental,1,
music,sings,1,
music,strings,1,
music,glissando,1,'glissando' is related to 'musical' so we just have to get from 'music' to 'musical'
music,viola,1,
music,hemiola,1,
music,overtone,1,
music,xylophone,1,
music,wave,1,
music,rave,1,
music,repeat,1,
music,jingle,1,
music,single,1,
music,bar,1,
music,repertoire,1,
music,bars,1,
music,score,1,
music,scores,1,
music,bass,1,
music,harp,1,
music,sharp,1,
music,flat,1,
music,show,1,
music,arpeggio,1,
music,mix,1,
music,drumsticks,1,
music,mandolin,1,
music,cello,1,
music,rest,1,
music,expressed,1,
music,fortissimo,1,
music,pianissimo,1,
music,gong,1,
music,song,1,
music,duet,1,
music,quartet,1,
music,quintet,1,
music,choral,1,
music,tonal,1,
music,recorded,1,
music,prerecorded,1,
music,notation,1,
music,brass,1,
music,trombone,1,
music,base,0,
music,coral,0,
music,duck,0,
music,rhombus,0,
music,rancid,0,
music,justice,0,
music,sever,0,
water,gush,1,
water,flush,1,
water,drink,1,
water,sink,1,
water,pee,1,
water,sea,1,
water,supply,1,
water,wade,1,
water,tide,1,
water,dam,1,
water,swam,1,
water,bay,1,
water,spray,1,
water,steam,1,
water,stream,1,
water,eau,1,
water,flow,1,
water,sweat,1,
water,wet,1,
water,cool,1,
water,pool,1,
water,drain,1,
water,rain,1,
water,marine,1,
water,saline,1,
water,dip,1,
water,sip,1,
water,ice,1,
water,duck,1,
water,rhombus,0,
water,fandango,0,
water,rancid,0,
water,melancholy,0,
water,frolic,0,
water,woe,0,
water,malice,0,
water,sever,0,
prayers,blessed,1,
prayers,request,1,
prayers,appeal,1,
prayers,kneel,1,
prayers,exhortations,1,
prayers,meditations,1,
prayers,pew,1,
prayers,plea,1,
prayers,healing,1,
prayers,kneeling,1,
prayers,priest,1,
prayers,justice,1,
prayers,duck,0,
prayers,rhombus,0,
prayers,fandango,0,
prayers,rancid,0,
prayers,melancholy,0,
prayers,frolic,0,
prayers,malice,0,
prayers,sever,0,
bread,yeast,1,
bread,duck,1,
bread,rhombus,0,
bread,fandango,0,
bread,justice,0,
bread,melancholy,0,
bread,frolic,0,
bread,woe,0,
bread,malice,1,ish - there's a bible verse that makes these be related
bread,sever,0,
geometry,rhombus,1,
geometry,quadrilateral,1,
geometry,triangle,1,
geometry,math,1,
geometry,mathematics,1,
geometry,proof,1,
geometry,bisect,1,
geometry,angle,1,
geometry,theta,1,
geometry,compass,1,
geometry,construction,1,
geometry,geometric,1,
geometry,prism,1,
geometry,sacred,1,
geometry,survey,1,
geometry,measure,1,
geometry,line,1,
geometry,point,1,
geometry,cube,1,
geometry,volume,1,
geometry,area,1,
geometry,fandango,0,
geometry,justice,0,
geometry,melancholy,0,
geometry,frolic,0,
geometry,woe,0,
geometry,malice,0,
geometry,sever,0,
melancholy,woe,1,uncommon words
melancholy,frolic,0,uncommon words
rhombus,pianissimo,0,uncommon words
rhombus,frolic,0,uncommon words
rhombus,woe,0,uncommon words
fortissimo,pianissimo,1,uncommon words
rhombus,quadrilateral,1,uncommon words
thing,object,1,very common words
thing,item,1,very common words
thing,cat,0,a very common word and a common word
thing,pasta,0,a very common word and a common word
thing,crime,0,a very common word and a common word
word,etymology,1,a very common word and an uncommon word
person,human,1,
person,personal,1,
person,people,1,
person,missing,1,
person,first,1,
person,second,1,
person,third,1,
person,someone,1,
person,anyone,1,
person,nobody,1,
person,adult,1,
person,child,1,
person,woman,1,
person,man,1,
person,self,1,
person,individual,1,
person,entity,1,
person,geometry,0,
person,math,0,
person,fortissimo,0,
person,malice,0,
person,woe,0,
person,sever,0,
person,appeal,0,
person,proof,0,
person,rhombus,0,
person,duck,0,
person,rancid,0,
person,harp,0,
person,coral,0,
person,supply,0,
person,steam,0,
person,stream,0,
person,drain,0,
person,ice,0,
person,penicillin,0,
person,scallion,0,
person,transistors,0,
person,undertow,0,
person,vice,0,
person,loot,0,
person,fungus,0,
person,chassis,0,
person,neutered,0,
person,paw,0,
person,zucchini,0,
magic,chants,1,
magic,trance,1,
medical,medicine,1,
medical,disease,1,
medical,expertise,1,
medical,fees,1,
medical,ccs,1,
medicine,disease,1,
medicine,expertise,1,
medicine,fees,1,
medicine,ccs,1,
music,key,1,polysemy: musical key vs door key
music,scale,1,polysemy: musical scale vs fish scale
music,staff,1,polysemy: musical staff vs employees
music,bridge,1,polysemy: musical bridge vs structure
music,movement,1,polysemy: symphony movement vs physical movement
music,natural,1,ish - natural note vs nature
music,march,1,march music / military march
music,suite,0,ish - musical suite
music,tempo,1,musical term
music,pitch,1,polysemy: musical pitch vs throw
music,chamber,1,chamber music
music,measure,1,polysemy: musical measure vs measurement
music,note,1,musical note
music,dance,1,thematically associated
music,silence,1,antonym / thematic contrast
music,lyric,1,clearly related
music,rhythm,1,clearly related
music,melody,1,clearly related
pirate,map,1,treasure map
pirate,flag,1,Jolly Roger
